ZONE I=100
0.217424 0.993
0.217677 0.992965
0.217929 0.992929
0.218182 0.992894
0.218434 0.992858
0.218687 0.992822
0.218939 0.992786
0.219192 0.992749
0.219444 0.992713
0.219697 0.992676
0.219949 0.992639
0.220202 0.992602
0.220455 0.992564
0.220707 0.992527
0.22096 0.992489
0.221212 0.992451
0.221465 0.992413
0.221717 0.992375
0.22197 0.992337
0.222222 0.992298
0.222475 0.992259
0.222727 0.99222
0.22298 0.992181
0.223232 0.992141
0.223485 0.992102
0.223737 0.992062
0.22399 0.992022
0.224242 0.991982
0.224495 0.991941
0.224747 0.991901
0.225 0.99186
ZONE I=100
0.225 0.99186
0.225253 0.991819
0.225505 0.991777
0.225758 0.991736
0.22601 0.991694
0.226263 0.991652
0.226515 0.99161
0.226768 0.991568
0.22702 0.991526
0.227273 0.991483
0.227525 0.99144
0.227778 0.991397
0.22803 0.991353
0.228283 0.99131
0.228535 0.991266
0.228788 0.991222
0.22904 0.991178
0.229293 0.991133
0.229545 0.991088
0.229798 0.991044
0.230051 0.990998
0.230303 0.990953
0.230556 0.990907
0.230808 0.990862
0.231061 0.990816
0.231313 0.990769
0.231566 0.990723
0.231818 0.990676
0.232071 0.990629
0.232323 0.990582
0.232576 0.990534
0.232828 0.990487
0.233081 0.990439
0.233333 0.99039
0.233586 0.990342
0.233838 0.990293
0.234091 0.990245
0.234343 0.990195
0.234596 0.990146
0.234848 0.990096
0.235101 0.990046
0.235354 0.989996
0.235606 0.989946
0.235859 0.989895
0.236111 0.989844
0.236364 0.989793
0.236616 0.989742
0.236869 0.98969
0.237121 0.989638
0.237374 0.989586
0.237626 0.989533
0.237879 0.989481
0.238131 0.989428
0.238384 0.989375
0.238636 0.989321
0.238889 0.989267
0.239141 0.989213
0.239394 0.989159
0.239646 0.989104
0.239899 0.989049
0.240152 0.988994
0.240404 0.988939
0.240657 0.988883
0.240909 0.988827
0.241162 0.988771
0.241414 0.988714
0.241667 0.988658
0.241919 0.9886
0.242172 0.988543
0.242424 0.988485
0.242677 0.988427
0.242929 0.988369
0.243182 0.988311
0.243434 0.988252
0.243687 0.988193
0.243939 0.988133
0.244192 0.988074
0.244444 0.988014
0.244697 0.987953
0.244949 0.987893
0.245202 0.987832
0.245455 0.98777
0.245707 0.987709
0.24596 0.987647
0.246212 0.987585
0.246465 0.987522
0.246717 0.98746
0.24697 0.987396
0.247222 0.987333
0.247475 0.987269
0.247727 0.987205
0.24798 0.987141
0.248232 0.987076
0.248485 0.987011
0.248737 0.986946
0.24899 0.98688
0.249242 0.986814
0.249495 0.986748
0.249747 0.986681
0.25 0.986614
ZONE I=100
0.25 0.986614
0.250253 0.986547
0.250505 0.986479
0.250758 0.986411
0.25101 0.986343
0.251263 0.986274
0.251515 0.986205
0.251768 0.986136
0.25202 0.986066
0.252273 0.985996
0.252525 0.985926
0.252778 0.985855
0.25303 0.985784
0.253283 0.985712
0.253535 0.985641
0.253788 0.985568
0.25404 0.985496
0.254293 0.985423
0.254545 0.98535
0.254798 0.985276
0.255051 0.985202
0.255303 0.985128
0.255556 0.985053
0.255808 0.984978
0.256061 0.984902
0.256313 0.984827
0.256566 0.98475
0.256818 0.984674
0.257071 0.984597
0.257323 0.984519
0.257576 0.984441
0.257828 0.984363
0.258081 0.984285
0.258333 0.984206
0.258586 0.984126
0.258838 0.984047
0.259091 0.983967
0.259343 0.983886
0.259596 0.983805
0.259848 0.983724
0.260101 0.983642
0.260354 0.98356
0.260606 0.983477
0.260859 0.983394
0.261111 0.983311
0.261364 0.983227
0.261616 0.983143
0.261869 0.983058
0.262121 0.982973
0.262374 0.982888
0.262626 0.982802
0.262879 0.982716
0.263131 0.982629
0.263384 0.982542
0.263636 0.982454
0.263889 0.982366
0.264141 0.982278
0.264394 0.982189
0.264646 0.982099
0.264899 0.982009
0.265152 0.981919
0.265404 0.981828
0.265657 0.981737
0.265909 0.981646
0.266162 0.981554
0.266414 0.981461
0.266667 0.981368
0.266919 0.981275
0.267172 0.981181
